UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;Longitude;Latitude
PA-2000;126340;7.15080513122129;26.6857337527036;1.53372046043302;;7.377128327271559;27.8050468312466;48.592503387023896;;;6.173025170175719;14.0211979126632;3.0092572914984195;0.65;13.9;16.77;;45.66;36.93;39.6;73.81;1;2000;PA;Pará;-4.239015;-52.218322
PA-2010;140687;5.17523840865354;42.2802225162548;1.46293240782886;0.539293418477407;3.09369876352285;35.8607012192939;48.6154261785763;5.7875584820655;93.2074163923064;7.3915855764925;8.55070505023201;1.75102681353667;0.62;9.5;11.74;11.16;84.7;57.5;29.05;91.92;2;2010;PA;Pará;-4.239015;-52.218322
PB-2000;57427;8.39917062882065;33.3292398378976;2.0548425555789303;;7.33899698547547;38.0725312871106;48.6363875216759;;;6.26360422797639;8.45084488475213;4.26479403956496;0.63;14.36;29.71;;65.32;60.28;14.53;87.81;1;2000;PB;Paraíba;-6.9501649999999975;-35.58808900000001
PB-2010;58699;9.46607360593519;51.92432358661161;1.8471772130308703;0.8322842355574208;1.49995699664574;58.9300765459706;48.8626101180841;21.6202844774273;77.8602350030921;7.027376957018009;5.89649981832967;1.32203153341705;0.61;8.92;21.91;3.12;81.96;78.91;11.75;96.5;5;2010;PB;Paraíba;-6.9501649999999975;-35.58808900000001
PE-2000;163405;5.14620386718918;29.4991417361452;1.74788330290517;;9.112522776626813;38.84070089608871;48.7058636054401;;;7.0101894066889;10.0829428054106;2.46497665110073;0.66;18.43;24.5;;66.77;61.85;14.86;84.69;1;2000;PE;Pernambuco;-8.140122;-37.779227
PE-2010;136591;6.168709423641079;50.07327725180991;1.79784171080683;0.828844981005636;1.48456407532023;52.4363969069122;48.5556751532193;19.7547455064673;79.6069208802285;7.736966564414929;6.643031803013071;1.31940831041403;0.62;11.43;18.0;2.75;83.69;78.22;10.83;94.74;5;2010;PE;Pernambuco;-8.140122;-37.779227
PI-2000;58615;4.99341603714741;29.3289246003872;1.6861041759294098;;4.78831350594822;21.7284814555633;48.5808626028639;;;6.29531689840485;15.4487165166104;9.477896609019211;0.65;10.67;30.51;;48.11;41.2;7.31;66.5;4;2000;PI;Piauí;-6.9953179999999975;-41.807852
PI-2010;49424;4.76992029852562;46.4013616469444;1.6350264400186398;0.345816635814398;0.9066405292820392;42.9857877971086;48.6664238303384;11.1111111111111;88.2352941176471;7.39721592748462;7.2433424296603;1.48540489642185;0.61;8.16;22.92;11.11;81.6;67.12;8.15;87.61;2;2010;PI;Piauí;-6.9953179999999975;-41.807852
PR-2000;179462;6.87423072619447;43.6496154833525;1.85790277793266;;1.2169548432315702;59.6160911613921;48.980843082719794;;;7.86461757920897;7.1845282255345;1.70313430655294;0.6;12.89;9.53;;94.4;89.36;3.54;96.97;3;2000;PR;Paraná;-24.722653;-51.09548
PR-2010;152051;7.31408712136172;58.4346979455164;2.07887898424394;0.7722084105431841;0.7252492220053799;80.56266153278129;48.6852490068664;72.7272727272727;27.2727272727273;8.52805966419162;6.59138551595934;1.13829604924927;0.53;5.26;6.28;1.98;96.71;96.69;0.97;99.18;0;2010;PR;Paraná;-24.722653;-51.09548
