UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;UF;Longitude;Latitude
DF-2010;-0.5333757254044348;1.0077198744244544;0.8264658156367477;1.723979247079812;0.8665014479022155;-0.5840225713524657;1.3915266886452482;-0.8293050776241058;0.3718028151665792;-0.10958795199365999;1.788685050773696;-0.5652960864062696;-0.5221910093754802;0.5349760422329026;-0.7290277657468273;-1.3932319228211352;-0.7054417510501729;1.0225035758161474;1.1364188815486664;-1.1408685371362879;0.8561775195841632;0;2010;DF;Distrito Federal;DF;-15.858437;-47.596956
ES-2000;-0.4227643506135104;-0.7198491072517745;0.17826512082858348;0.9163864983999489;0.31963495470929454;-0.2794878987879762;0.41021733127784565;0.4995725355132281;-2.4242857103085407;1.3037047781757647;-0.02229011881830099;-0.2903199622673809;-0.048174360589913076;-0.2252530704138515;0.4694338489107146;-0.3658486703810893;-1.3766390867516507;0.7059844683443819;0.8458236072485199;-0.8618983707236826;0.1188886568893416;3;2000;ES;Espírito Santo;ES;-19.768337;-40.3565
ES-2010;-0.473862124218179;-0.028701152815293104;1.5088576694687716;0.8920421364914312;-0.8444346776611208;-0.7993182016261888;1.1714082163038886;-0.9317848338198371;-0.0369960525856743;0.2705153931510766;0.4232306615103157;-1.1779600894784177;-0.2504161287828196;-1.2388918872761876;-0.9795258901219693;-0.8106304443033044;-0.7735881813841788;0.9251130812094507;1.1804333120794972;-1.1141586275861448;0.7573113953426325;5;2010;ES;Espírito Santo;ES;-19.768337;-40.3565
GO-2000;-0.13806668937444508;-0.3992471616018608;0.2832831876193807;0.29493520996254136;-0.03999564582361287;-0.35326878680024804;0.39693052418168595;-0.7579855803550419;-2.836059273566349;1.384011828853518;-0.660190592258564;0.5416117517242752;0.33001733159504587;-0.2252530704138515;0.36628756240330285;-0.3332731038403074;-1.1022603251700023;0.3912044768477352;0.6392558821435962;-0.5492935033960827;0.03685080911445411;3;2000;GO;Goiás;GO;-16.8529;-51.105
GO-2010;-0.1949811698564339;-0.13129872202566914;1.5719437208775935;0.7273291544538559;0.4702693775899869;-0.5719626409206068;1.3495522425210007;1.2932899236649091;-0.6275209575473571;0.7344479295256425;0.6381151588064596;-0.5436653356983038;-0.49775547930373804;-1.4923015914917723;-1.2128329667458757;-0.8331827596007687;-0.74897974820801;0.9430839462856866;1.0188803454720148;-0.8777264652719156;0.8330386394425284;5;2010;GO;Goiás;GO;-16.8529;-51.105
MA-2000;-0.09058576446065388;1.6222488130181876;-1.3399431581959733;0.7594804268827084;-0.5252947722572316;0.7019255693732765;-1.564353209323535;-0.8995083286853284;-4.750298078652544;1.8403277202033863;-0.6595772159594694;4.3208079627599645;5.024345864077524;1.041795450664072;0.09614252631246359;1.729010839472273;6.489254646777137;-2.7478998582431293;-2.342721786320211;1.3599704014845118;-3.9262082987801046;4;2000;MA;Maranhão;MA;-4.042;-45.107215999999994
MA-2010;0.05624106929996512;-1.179738399392563;-0.5332606729943693;-0.8607939489498065;-1.7172484447668392;-0.4479877481109907;-1.2380186639311865;-0.29957170601246497;-0.65710421771545;0.6144099313159543;-0.23623216690689913;0.05850115951037145;-0.014339728013544079;0.2815663380173179;-0.628337343203878;0.7868252226004259;3.756256479429051;0.09439535042732522;-1.0753062526255972;1.1611299637223358;-1.2252699258838131;2;2010;MA;Maranhão;MA;-4.042;-45.107215999999994
MG-2000;1.4763004150480963;0.604300227800368;-0.048043990911622925;0.8879890870005345;0.2539248615847686;-0.505409534824754;-0.05560361194867785;0.36913834445791527;-2.8166922212845824;1.805512742299772;1.2751358247326252;-0.25034652204470104;-0.04984208699347469;0.028156633801733198;0.6683588300321506;-0.3295143846240632;-0.7941337793330969;0.5141020057561867;0.6962745762403547;-0.7837471538917827;0.13466516607682052;3;2000;MG;Minas Gerais;MG;-18.824095;-44.0345
MG-2010;1.1174964990301441;0.8745748629542885;0.9932136212100046;1.2811204234585938;0.20766239020017557;-0.7957983408869495;1.385502862248035;0.5579658196873942;-0.011655711763365911;0.26101396485177353;1.996531619131267;-0.5505396876179476;-0.5377075621288412;-1.2388918872761876;-1.090039768522767;-0.7868252226004252;-0.7773740941805126;0.8085923108764377;1.0814008433851272;-1.0300718752986575;0.7488972571093094;0;2010;MG;Minas Gerais;MG;-18.824095;-44.0345
MS-2000;-0.5628193789247593;-0.40402264282767986;0.12571147479098221;-0.3548688823020337;-0.5021972260993387;-0.3473252478963196;0.8759645049556224;1.2661229601173232;-2.0323692054504474;2.1528517203429747;-0.3931466288428535;-0.3066437020873482;-0.21587259036288012;0.2815663380173179;0.5431097678445796;-0.4259881778409945;-0.8177111800224648;0.4781602756037148;0.6162483389115712;-0.2901084551687689;0.3187244399307345;3;2000;MS;Mato Grosso do Sul;MS;-20.616023000000002;-55.095124
